EMP_ID,APPRAISAL_YEAR,PARAMETER,GRADE
1001,2024-2025,PROD,A
1001,2024-2025,QUAL,B
1001,2024-2025,BEHV,C
1001,2024-2025,ENGM,A
1001,2024-2025,INNV,B
1001,2024-2025,GROW,C
1001,2024-2025,LEAD,D
1001,2023-2024,PROD,B
1001,2023-2024,QUAL,A
1001,2023-2024,BEHV,B
1001,2023-2024,ENGM,A
1001,2023-2024,INNV,C
1001,2023-2024,GROW,A
1001,2023-2024,LEAD,B
1001,2025-2026,PROD,A
1001,2025-2026,QUAL,B
1001,2025-2026,BEHV,B
1001,2025-2026,ENGM,A
1001,2025-2026,INNV,B
1001,2025-2026,GROW,C
1001,2025-2026,LEAD,A
1002,2024-2025,PROD,C
1002,2024-2025,QUAL,C
1002,2024-2025,BEHV,B
1002,2024-2025,ENGM,C
1002,2024-2025,INNV,B
1002,2024-2025,GROW,C
1002,2024-2025,LEAD,D
